"","X1","UID","iso2","iso3","code3","FIPS","Admin2","Lat","Combined_Key","Date","Case","Long","Country/Region","Province/State"
"139",196270,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-22,0,-78.02750466,"US","New York"
"140",196271,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-23,0,-78.02750466,"US","New York"
"141",196272,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-24,0,-78.02750466,"US","New York"
"142",196273,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-25,0,-78.02750466,"US","New York"
"143",196274,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-26,0,-78.02750466,"US","New York"
"144",196275,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-27,0,-78.02750466,"US","New York"
"145",196276,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-28,0,-78.02750466,"US","New York"
"146",196277,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-02-29,0,-78.02750466,"US","New York"
"147",196278,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-01,0,-78.02750466,"US","New York"
"148",196279,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-02,0,-78.02750466,"US","New York"
"149",196280,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-03,0,-78.02750466,"US","New York"
"150",196281,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-04,0,-78.02750466,"US","New York"
"151",196282,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-05,0,-78.02750466,"US","New York"
"152",196283,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-06,0,-78.02750466,"US","New York"
"153",196284,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-07,0,-78.02750466,"US","New York"
"154",196285,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-08,0,-78.02750466,"US","New York"
"155",196286,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-09,0,-78.02750466,"US","New York"
"156",196287,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-10,0,-78.02750466,"US","New York"
"157",196288,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-11,0,-78.02750466,"US","New York"
"158",196289,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-12,0,-78.02750466,"US","New York"
"159",196290,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-13,0,-78.02750466,"US","New York"
"160",196291,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-14,0,-78.02750466,"US","New York"
"161",196292,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-15,0,-78.02750466,"US","New York"
"162",196293,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-16,2,-78.02750466,"US","New York"
"163",196294,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-17,2,-78.02750466,"US","New York"
"164",196295,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-18,2,-78.02750466,"US","New York"
"165",196296,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-19,2,-78.02750466,"US","New York"
"166",196297,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-20,2,-78.02750466,"US","New York"
"167",196298,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-21,2,-78.02750466,"US","New York"
"168",196299,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-22,2,-78.02750466,"US","New York"
"169",196300,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-23,2,-78.02750466,"US","New York"
"170",196301,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-24,2,-78.02750466,"US","New York"
"171",196302,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-25,2,-78.02750466,"US","New York"
"172",196303,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-26,2,-78.02750466,"US","New York"
"173",196304,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-27,2,-78.02750466,"US","New York"
"174",196305,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-28,2,-78.02750466,"US","New York"
"175",196306,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-29,6,-78.02750466,"US","New York"
"176",196307,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-30,7,-78.02750466,"US","New York"
"177",196308,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-03-31,9,-78.02750466,"US","New York"
"178",196309,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-01,10,-78.02750466,"US","New York"
"179",196310,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-02,12,-78.02750466,"US","New York"
"180",196311,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-03,14,-78.02750466,"US","New York"
"181",196312,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-04,16,-78.02750466,"US","New York"
"182",196313,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-05,16,-78.02750466,"US","New York"
"183",196314,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-06,17,-78.02750466,"US","New York"
"184",196315,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-07,17,-78.02750466,"US","New York"
"185",196316,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-08,21,-78.02750466,"US","New York"
"186",196317,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-09,22,-78.02750466,"US","New York"
"187",196318,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-10,26,-78.02750466,"US","New York"
"188",196319,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-11,26,-78.02750466,"US","New York"
"189",196320,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-12,26,-78.02750466,"US","New York"
"190",196321,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-13,26,-78.02750466,"US","New York"
"191",196322,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-14,28,-78.02750466,"US","New York"
"192",196323,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-15,28,-78.02750466,"US","New York"
"193",196324,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-16,28,-78.02750466,"US","New York"
"194",196325,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-17,29,-78.02750466,"US","New York"
"195",196326,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-18,30,-78.02750466,"US","New York"
"196",196327,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-19,30,-78.02750466,"US","New York"
"197",196328,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-20,30,-78.02750466,"US","New York"
